id,prereqs,required,group
2,1,1,1
3,2,1,1
4,1,1,1
5,1,1,1
6,2,1,1
6,4,1,1
7,5,1,1
9,8,1,1
10,8,1,1
11,9,1,1
11,10,1,1
13,12,1,1
14,13,1,1
20,8,1,1
23,22,1,1
24,23,1,1
25,22,1,1
26,25,1,1
28,27,1,1
28,105,1,1
29,28,1,1
30,28,1,1
31,28,1,1
35,32,1,1
36,32,1,1
39,32,1,1
43,210,1,1
44,66,1,1
45,65,1,1
47,35,1,1
49,35,1,1
50,35,1,1
53,35,1,1
54,35,1,1
55,35,1,1
56,35,1,1
57,35,1,1
58,35,1,1
59,51,1,1
60,51,1,1
61,35,1,1
62,35,1,1
66,65,1,1
67,44,1,1
68,67,1,1
70,69,1,1
75,74,1,1
76,75,1,1
78,77,1,1
79,78,1,1
81,80,1,1
82,81,1,1
84,83,1,1
85,84,1,1
87,86,1,1
88,87,1,1
95,89,1,1
96,89,1,1
97,89,1,1
98,89,1,1
99,89,1,1
100,89,1,1
101,89,1,1
102,89,1,1
103,100,1,1
104,89,1,1
107,105,1,1
108,105,1,1
108,109,1,1
109,105,1,1
109,107,1,1
110,105,1,1
110,107,1,1
111,105,1,1
111,107,1,1
111,109,1,1
112,105,1,1
112,107,1,1
112,109,1,1
113,105,1,1
113,107,1,1
113,109,1,1
114,105,1,1
114,107,1,1
114,109,1,1
115,105,1,1
115,108,1,1
115,110,1,1
116,105,1,1
116,107,1,1
116,109,1,1
117,105,1,1
117,107,1,1
117,109,1,1
117,111,1,1
118,112,1,1
119,105,1,1
119,107,1,1
119,109,1,1
120,105,1,1
120,107,1,1
120,109,1,1
121,118,1,1
148,147,1,1
149,147,1,1
161,105,1,1
162,105,1,1
162,159,1,1
163,105,1,1
163,159,1,1
164,105,1,1
164,159,1,1
165,105,1,1
166,107,1,1
166,109,1,1
167,159,1,1
168,159,1,1
169,159,1,1
170,161,1,1
171,159,1,1
172,159,1,1
173,159,1,1
174,159,1,1
174,161,1,1
175,159,1,1
175,161,1,1
176,109,1,1
176,162,1,1
177,111,1,1
177,165,1,1
198,105,1,1
199,107,1,1
209,208,1,1
210,208,1,1
211,208,1,1
213,210,1,1
214,210,1,1
215,213,1,1
215,214,1,1
216,213,1,1
216,214,1,1
217,215,1,1
217,216,1,1
218,215,1,1
218,216,1,1
219,213,1,1
219,214,1,1
220,213,1,1
220,214,1,1
222,221,1,1
223,221,1,1
224,221,1,1
225,223,1,1
226,223,1,1
227,225,1,1
228,226,1,1
229,225,1,1
230,227,1,1
231,228,1,1
234,233,1,1
235,234,1,1
237,236,1,1
238,237,1,1
239,237,1,1
240,239,1,1
242,241,1,1
243,242,1,1
244,243,1,1
246,245,1,1
247,246,1,1
248,247,1,1
45,38,1,2
59,49,1,2
60,49,1,2
96,90,1,2
142,141,1,1
149,146,1,2
170,162,1,2
211,221,1,2
222,208,1,2
224,208,1,2
229,226,1,2
8,105,0,1
21,8,0,1
50,49,0,1
110,108,0,1
112,108,0,1
112,110,0,1
115,111,0,1
150,146,0,1
152,146,0,1
154,146,0,1
157,156,0,1
164,160,0,1
173,161,0,1
173,162,0,2
176,164,0,1
188,181,0,1
188,184,0,2
184,33,0,1
184,36,0 ,1
184,179,0 ,2
189,178,0,1
189,182,0,2
200,181,0,1
200,184,0,2
