id,years
1,9
1,10
1,11
1,12
2,10
2,11
2,12
3,10
3,11
3,12
4,10
4,11
4,12
5,10
5,11
5,12
6,11
6,12
7,10
7,11
7,12
8,9
8,10
8,11
8,12
9,10
9,11
9,12
10,10
10,11
10,12
11,10
11,11
11,12
12,9
12,10
12,11
12,12
13,10
13,11
13,12
14,11
14,12
15,9
15,10
15,11
15,12
16,10
16,11
16,12
17,12
18,11
18,12
19,9
19,10
19,11
19,12
20,10
20,11
20,12
21,10
21,11
21,12
22,9
22,10
22,11
22,12
23,10
23,11
23,12
24,11
24,12
25,10
25,11
25,12
26,11
26,12
27,9
27,10
27,11
27,12
28,10
28,11
28,12
29,11
29,12
30,11
30,12
31,11
31,12
32,9
33,9
34,9
35,10
36,10
37,10
38,9
38,10
38,11
38,12
39,10
39,11
39,12
40,9
40,10
40,11
40,12
41,10
41,11
41,12
42,11
42,12
43,9
43,10
43,11
43,12
44,10
44,11
44,12
45,10
45,11
45,12
46,9
46,10
46,11
46,12
47,11
48,12
49,11
50,12
51,11
51,12
52,11
53,11
53,12
54,11
54,12
55,11
55,12
56,11
56,12
57,11
57,12
58,11
58,12
59,12
60,12
61,11
61,12
62,11
62,12
63,9
63,10
63,11
63,12
64,9
64,10
64,11
64,12
65,9
65,10
65,11
65,12
66,10
66,11
66,12
67,10
67,11
67,12
68,11
68,12
69,9
69,10
69,11
69,12
70,10
70,11
70,12
71,9
71,10
71,11
71,12
72,9
72,10
72,11
72,12
73,9
73,10
73,11
73,12
74,9
74,10
74,11
74,12
75,10
75,11
75,12
76,11
76,12
77,9
77,10
77,11
77,12
78,10
78,11
78,12
79,11
79,12
80,9
80,10
80,11
80,12
81,10
81,11
81,12
82,11
82,12
83,9
83,10
83,11
83,12
84,10
84,11
84,12
85,11
85,12
86,9
86,10
86,11
86,12
87,10
87,11
87,12
88,11
88,12
89,9
89,10
89,11
89,12
90,9
90,10
90,11
90,12
91,11
91,12
92,9
92,10
92,11
92,12
93,9
93,10
93,11
93,12
94,10
94,11
94,12
95,10
95,11
95,12
96,9
96,10
96,11
96,12
97,9
97,10
97,11
97,12
98,9
98,10
98,11
98,12
99,9
99,10
99,11
99,12
100,10
100,11
100,12
101,9
101,10
101,11
101,12
102,9
102,10
102,11
102,12
103,10
103,11
103,12
104,10
104,11
104,12
105,9
105,10
105,11
105,12
106,9
107,9
107,10
107,11
107,12
108,9
108,10
109,10
109,11
109,12
110,10
110,11
111,10
111,11
111,12
112,10
112,11
112,12
113,11
113,12
114,11
114,12
115,11
115,12
116,11
116,12
117,11
117,12
118,11
118,12
119,11
119,12
120,11
120,12
121,12
122,9
122,10
122,11
122,12
123,9
123,10
123,11
123,12
124,9
124,10
124,11
124,12
125,9
125,10
125,11
125,12
126,9
126,10
126,11
126,12
127,9
127,10
127,11
127,12
128,9
128,10
128,11
128,12
129,9
129,10
129,11
129,12
130,9
130,10
130,11
130,12
131,9
131,10
131,11
131,12
132,9
132,10
132,11
132,12
133,9
133,10
133,11
133,12
134,9
134,10
134,11
134,12
135,9
135,10
135,11
135,12
136,9
136,10
136,11
136,12
137,9
137,10
137,11
137,12
138,9
138,10
138,11
138,12
139,10
139,11
139,12
140,10
140,11
140,12
141,9
141,10
141,11
141,12
142,10
142,11
142,12
143,9
143,10
143,11
143,12
144,9
144,10
144,11
144,12
145,10
145,11
145,12
146,9
146,10
146,11
146,12
147,9
147,10
147,11
147,12
148,10
148,11
148,12
149,10
149,11
149,12
150,9
150,10
150,11
150,12
151,10
151,11
151,12
152,10
152,11
152,12
153,10
153,11
153,12
154,10
154,11
154,12
155,10
155,11
155,12
156,9
156,10
156,11
156,12
157,10
157,11
157,12
158,10
158,11
158,12
159,9
160,9
161,10
161,11
161,12
162,10
162,11
162,12
163,10
164,10
164,11
164,12
165,10
165,11
165,12
166,11
166,12
167,10
167,11
167,12
168,10
168,11
168,12
169,10
169,11
169,12
170,11
170,12
171,11
171,12
172,11
172,12
173,11
173,12
174,11
174,12
175,11
175,12
176,11
176,12
177,11
177,12
178,9
179,9
180,9
181,9
181,10
181,11
181,12
182,10
182,11
182,12
183,11
184,11
185,12
186,12
187,12
188,12
189,10
189,11
189,12
190,11
190,12
191,10
191,11
191,12
192,10
192,11
192,12
193,10
193,11
193,12
194,10
194,11
194,12
195,10
195,11
195,12
196,11
196,12
197,12
198,9
198,10
198,11
198,12
199,9
199,10
199,11
199,12
201,9
201,10
201,11
201,12
202,9
202,10
202,11
202,12
203,9
203,10
203,11
203,12
204,9
204,10
204,11
204,12
205,9
205,10
205,11
205,12
206,9
206,10
206,11
206,12
207,9
207,10
207,11
207,12
208,9
208,10
208,11
208,12
209,10
209,11
209,12
210,9
210,10
210,11
210,12
211,10
211,11
211,12
212,9
212,10
212,11
212,12
213,10
213,11
213,12
214,10
214,11
214,12
215,11
215,12
216,11
216,12
217,12
218,12
219,11
219,12
220,11
220,12
221,9
221,10
221,11
221,12
222,10
222,11
222,12
223,9
223,10
223,11
223,12
224,10
224,11
224,12
225,10
225,11
225,12
226,10
226,11
226,12
227,11
227,12
228,11
228,12
229,11
229,12
230,12
231,12
232,10
232,11
232,12
233,9
233,10
233,11
233,12
234,9
234,10
234,11
234,12
235,10
235,11
235,12
236,9
236,10
236,11
236,12
237,9
237,10
237,11
237,12
238,9
238,10
238,11
238,12
239,10
239,11
239,12
240,10
240,11
240,12
241,9
241,10
241,11
241,12
242,9
242,10
242,11
242,12
243,9
243,10
243,11
243,12
244,10
244,11
244,12
245,9
245,10
245,11
245,12
246,9
246,10
246,11
246,12
247,9
247,10
247,11
247,12
248,10
248,11
248,12
249,10
249,11
249,12
250,12
251,10
251,11
251,12
252,12
253,11
253,12
254,11
254,12
200,12
