id,c_id,course_name,class_name,dep_id,semesters,AP,DC,CC,NCAA,max_takes,public,description
1,4562,Principles of Business Management ,,1,2,0,0,0,0,1,1,"<b>Principles of Business Management</b> examines business ownership, organization principles and problems, management, control facilities, administration, financial management, and development practices of business enterprises. This class is the diving board for many of the business pathways here at FC. Students will have the opportunity to compete in scholarship competitions to win real money like <a href='https://knowledgematters.com/highschool/competitions/allaccess/'>Knowledge Matters</a> business simulations and <a href='https://www.innovatewithin.org/'>Innovate WithIN</a> pitch contests.  Through this class you will gain the foundation needed to take more advanced marketing, finance, and management courses.<br>MOS Excel certification completion upon request."
2,4524,Accounting Fundamentals,,1,2,0,0,0,0,1,1,"<b>Accounting Fundamentals</b> introduces the language of business using Generally Accepted Accounting Principles (GAAP) and procedures for proprietorships and partnerships using double-entry accounting. Emphasis is placed on accounting principles as they relate to both manual and automated financial systems. Accounting is an essential part of the financial management of every business institution and organization.  That's why it's referred to as the language of business!  As future workers, small business owners, and entrepreneurs, students who understand accounting principles can more knowledgeably manage their companies' financial resources. Students will have the opportunity to practice accounting skills through hands-on accounting work for the school stores.  As citizens, future parents, and investors, these students will be better prepared to make economic decisions that will affect their communities and be able to make the right financial decisions that will affect their own economic futures.  Everyone who plans on studying business NEEDS Accounting!"
3,5258,Finance and Investment,,1,2,0,0,0,0,1,1,"<b>Finance and Investment</b> prepares students for careers in the finance industry. They will analyze and synthesize skills needed for careers in the banking and investment industry. Students learn banking, investments, and other finance fundamentals and applications related to financial institutions, business and personal financial services, investment and securities, risk management products, and corporate finance through hands-on opportunities such as games and simulations."
4,7143/CC,Management Fundamentals,,1,2,0,1,0,0,1,1,"<b>Management Fundamentals</b> is a specialized marketing course providing instruction of marketing practices that support the sale of products to retail consumers. Emphasis is placed on oral and written communications, problem solving and critical thinking skills as they relate to product design, selling, pricing, distribution, retail promotion, visual merchandising, retail cycles, retail theories, and career opportunities in the retail industry. This course focuses on a specific retail sector by having a real world application of running <a href='https://www.instagram.com/mccormickscafe/'>McCormick's</a>, a coffee shop located in the school's Main Cafeteria.<br>Application of Content Intensive laboratory applications are a component of this course. Students will have a standards-based training plan for participating in the school coffee shop."
5,5914,Marketing Fundamentals,,1,2,0,1,0,0,1,1,"<b>Marketing Fundamentals</b> provides a basic introduction to the scope and importance of marketing in the global economy. Emphasis is placed on oral and written communications, mathematical applications, problem-solving, and critical thinking skills as they relate to advertising/promotion/selling, distribution, financing, marketing information management, pricing, and product/service management. Students will be able to work on hands-on marketing efforts for the school spirit shop."
6,7256/CC,Business Administration Capstone,,1,2,0,1,0,0,3,1,"The Business Administration Capstone course will allow students to explore advanced topics in business leadership including Human Resources and Business Communications. Throughout the course students will develop business communication skills through work on leading other students in the school coffee shop, McCormick's.  All of the courses represent key business competencies required by nearly all postsecondary Business schools. Students must have completed one year of Management Fundamentals prior to the year they take this capstone  to be considered for this course."
7,7145,Digital Marketing,,1,2,0,1,0,0,1,1,"<b>Digital Marketing</b> provides an introduction to the world of e-commerce and digital marketing media. The course covers how to integrate digital media and e-commerce into organizational and marketing strategy. Students will explore e-commerce applications and the most popular digital marketing tactics and tools like <u>Social Media Marketing</u>. Emphasizes familiarity with executing digital media, understanding the marketing objectives that digital media can help organizations achieve, and establishing and enhancing an organization's digital marketing presence. In this course, students work collaboratively to build branding for the school spirit shop."
8,7183,Principles of Computing,,1,2,0,1,1,0,1,1,"<b>Principles of Computing</b> is the introductory course for the Computer Science program at FCHS. In this class, students will learn to frame problems in ways that can be solved by a computer. The first semester focuses primarily on foundational Python programming skills, and the second semester focuses on applications and impacts of computing. Both semesters end in a project that allows students to demonstrate their understanding of these concepts through practice.  After completion of this course, students will have access to our more advanced Computer Science courses."
9,7184,Software Development,,1,2,0,1,1,0,1,1,"<b>Software Development</b>  is a challenging and rewarding course focused on good collaborative practices, object-oriented principles, and maintainable coding practices. Students will use a game engine, version control software, and an integrated development environment to build video games together. The software development life cycle is also a focus, including the planning and documentation of project proposals. Students will be pushed to seek out information independently and problem solve issues they have not encountered before."
10,7185,Website and Database Development,,1,2,0,1,1,0,1,1,"<b>Website and Database Development</b> will provide students a basic understanding of the essential Web and Database skills and business practices that directly relate to Internet technologies used in Web site and Database design and development. Students will learn to develop Web sites using Hypertext Markup Language (HTML), Cascading Style Sheets (CSS), Javascript/JQuery, and frameworks like Bootstrap. Additionally students will be introduced to the basic concepts of databases including types of databases, general database environments, database design, normalization and development of tables, queries, reports, and applications. Students will be familiarized with the use of ANSI Standard Structured Query Language. Students will be introduced to data concepts such as data warehousing, data mining, and BIG Data. Students will have the opportunity to create professional looking websites through the skills gained in this course."
11,7253,Software Development Capstone,,1,2,0,1,1,0,3,1,"<b>Software Development Capstone</b> provides a deeper understanding of the fundamental concepts involved when using an object oriented programming language.  It can be taken more than once. The first year students take this course, they will focus on building an API for a web service as well as a mobile application to consume that API. Students enrolling in the course a second time will have the freedom to propose their own projects, and then execute on those proposals upon approval. This course leverages material learned in Software Development as well as Website and Database Development. This course is intended to prepare students for a university computer science program, and to equip them to utilize computer science principles for any other discipline they choose to pursue. If interested, please complete <a href='https://docs.google.com/forms/d/e/1FAIpQLSchlPcrfiOeFhRxyLgok-fdJ7ZvaEaXOT0nbkRbQPv9nmzYwQ/viewform'>this application</a>."
