id,credit_type
1,10
2,1
3,1
4,1
5,1
6,1
7,1
8,2
9,2
10,1
11,1
12,1
13,1
14,1
15,3
16,10
17,17
18,18
19,10
20,3
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,4
29,4
30,4
31,4
32,5
33,5
34,5
35,6
36,6
37,6
38,7
39,7
40,7
41,7
42,7
43,7
44,7
45,7
46,7
47,8
48,8
49,8
50,8
51,8
52,8
53,8
54,8
55,8
56,8
57,8
58,8
59,8
60,8
61,8
62,8
63,8
64,8
65,1
66,1
67,1
68,1
69,1
70,1
71,9
71,10
72,12
73,11
74,1
75,1
76,1
77,1
78,1
79,1
80,10
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,13
90,13
91,13
92,13
93,13
94,14
95,15
96,15
97,15
98,15
99,15
100,15
101,15
102,15
103,1
104,1
105,16
106,16
107,18
108,18
109,18
110,18
111,18
112,18
113,18
114,18
115,18
116,18
117,18
118,18
119,18
120,18
121,18
122,12
122,19
123,12
123,19
124,12
124,19
125,12
125,19
125,24
126,12
127,12
128,12
129,12
130,12
131,12
131,20
132,12
132,20
133,12
133,20
134,12
134,20
135,12
135,20
136,12
136,20
136,25
137,12
137,20
137,25
138,12
138,20
138,25
139,12
139,20
139,25
140,12
140,20
140,25
141,12
141,21
142,12
142,21
143,12
143,21
144,12
144,21
144,26
145,12
146,12
146,22
147,12
148,12
149,12
149,22
150,12
150,27
151,12
152,12
153,12
154,12
155,12
156,12
157,12
157,24
157,25
157,26
158,12
158,24
158,25
158,26
159,29
160,29
161,30
161,31
162,30
162,31
163,30
163,31
164,30
164,31
165,30
165,31
166,30
166,31
167,30
168,30
169,30
170,30
171,30
172,30
173,30
174,30
175,30
176,30
177,30
178,34
178,35
179,34
179,35
180,34
180,35
181,34
181,35
182,34
182,35
183,32
184,32
185,33
186,33
187,36
188,36
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,12
208,23
209,12
210,12
210,28
211,12
212,12
213,12
214,12
215,12
216,12
217,12
218,12
219,12
219,28
220,12
220,28
221,12
221,23
222,12
223,12
223,28
224,12
225,12
226,12
227,12
228,12
229,12
229,28
230,12
231,12
232,12
232,28
233,37
233,41
234,37
234,41
235,34
235,37
235,41
236,37
236,38
237,37
237,38
238,34
238,37
238,38
239,34
239,37
239,38
240,34
240,37
240,38
241,37
241,39
242,37
242,39
243,34
243,37
243,39
244,34
244,37
244,39
245,37
245,40
246,37
246,40
247,34
247,37
247,40
248,34
248,37
248,40
249,42
250,42
251,42
252,42
253,42
254,42
200,33
